CCL,PYPL,BABA,SBRCY,YNDX,MPC,JWN,MRNA,LIN,GOOG,MSFT,AAPL,BP
"8,489999771118164","92,38999938964844","187,11000061035156","8,942938804626465","32,380001068115234","18,934200286865234","13,050000190734863","34,84000015258789","159,48060607910156","1097,8800048828125","152,28250122070312","59,888275146484375","22,984933853149414"
"12,420000076293945","105,83999633789062","196,3699951171875","9,82437801361084","36,13999938964844","24,19160270690918","21,31999969482422","31,860000610351562","186,38365173339844","1211,449951171875","163,47872924804688","66,4821548461914","23,152299880981445"
"12,5600004196167","111,8499984741211","209,5","9,53974723815918","36,619998931884766","24,021705627441406","18,799999237060547","46,849998474121094","185,46885681152344","1283,25","176,80331420898438","70,15617370605469","21,785478591918945"
"11,90999984741211","120,18000030517578","204,36000061035156","9,291842460632324","36,0","24,314306259155273","17,84000015258789","50,5","178,50454711914062","1279,31005859375","172,7940673828125","70,19834899902344","21,7482852935791"
"13,930000305175781","120,61000061035156","194,47999572753906","9,411203384399414","37,40999984741211","27,5990047454834","17,65999984741211","47,93000030517578","177,38316345214844","1320,6099853515625","172,81385803222656","71,71163177490234","21,227590560913086"
"14,210000038146973","144,9600067138672","201,19000244140625","9,741743087768555","40,7400016784668","31,176298141479492","18,030000686645508","59,25","185,33116149902344","1388,3699951171875","182,8221435546875","76,93612670898438","22,343364715576172"
"12,779999732971191","145,50999450683594","203,67999267578125","9,172480583190918","38,9900016784668","28,59951400756836","16,3700008392334","66,69000244140625","179,6062469482422","1373,18994140625","181,3174285888672","76,54241180419922","20,83401107788086"
"14,460000038146973","150,86000061035156","199,6999969482422","9,677472114562988","40,2599983215332","33,57375717163086","15,65999984741211","69,0","187,75096130371094","1410,4200439453125","181,66392517089844","79,32343292236328","21,94159507751465"
"15,739999771118164","155,00999450683594","207,38999938964844","10,50382137298584","40,22999954223633","33,72760009765625","16,1299991607666","61,5","199,03350830078125","1428,9200439453125","181,91177368164062","79,08712005615234","22,094362258911133"
"21,510000228881836","156,0","219,5500030517578","11,743346214294434","42,31999969482422","39,889556884765625","22,6200008392334","58,189998626708984","217,6640167236328","1438,3900146484375","185,83291625976562","82,46015167236328","26,457855224609375"
"19,979999542236328","155,25999450683594","217,63999938964844","11,036358833312988","42,18000030517578","35,14811325073242","17,6299991607666","62,0","199,57656860351562","1413,1800537109375","186,3689727783203","84,27600860595703","23,631610870361328"
"17,829999923706055","164,36000061035156","220,63999938964844","10,825180053710938","45,619998931884766","36,65501403808594","17,06999969482422","66,3499984741211","205,61508178710938","1431,719970703125","193,724853515625","86,99234771728516","22,600414276123047"
"15,779999732971191","170,8699951171875","215,7100067138672","10,641546249389648","49,029998779296875","33,94835662841797","14,6899995803833","61,279998779296875","204,39947509765625","1359,9000244140625","194,896240234375","87,96495056152344","21,731534957885742"
"15,880000114440918","177,2100067138672","223,60000610351562","10,926177978515625","50,119998931884766","34,62022018432617","15,5","58,56999969482422","218,67047119140625","1464,699951171875","204,7537384033203","90,57183837890625","22,352163314819336"
