CCL,AAL,PYPL,BABA,KO,SBRCY,YNDX,MPC,JWN,MRNA,MSFT,BP
"8,489999771118164","9,390000343322754","92,38999938964844","187,11000061035156","42,39850997924805","8,942938804626465","32,380001068115234","18,934200286865234","13,050000190734863","34,84000015258789","152,28250122070312","22,984933853149414"
"12,420000076293945","12,510000228881836","105,83999633789062","196,3699951171875","47,399658203125","9,82437801361084","36,13999938964844","24,19160270690918","21,31999969482422","31,860000610351562","163,47872924804688","23,152299880981445"
"12,5600004196167","11,569999694824219","111,8499984741211","209,5","46,490360260009766","9,53974723815918","36,619998931884766","24,021705627441406","18,799999237060547","46,849998474121094","176,80331420898438","21,785478591918945"
"11,90999984741211","10,3100004196167","120,18000030517578","204,36000061035156","43,946250915527344","9,291842460632324","36,0","24,314306259155273","17,84000015258789","50,5","172,7940673828125","21,7482852935791"
"13,930000305175781","10,640000343322754","120,61000061035156","194,47999572753906","44,11069869995117","9,411203384399414","37,40999984741211","27,5990047454834","17,65999984741211","47,93000030517578","172,81385803222656","21,227590560913086"
"14,210000038146973","10,140000343322754","144,9600067138672","201,19000244140625","44,60404586791992","9,741743087768555","40,7400016784668","31,176298141479492","18,030000686645508","59,25","182,8221435546875","22,343364715576172"
"12,779999732971191","9,039999961853027","145,50999450683594","203,67999267578125","41,84712600708008","9,172480583190918","38,9900016784668","28,59951400756836","16,3700008392334","66,69000244140625","181,3174285888672","20,83401107788086"
"14,460000038146973","9,699999809265137","150,86000061035156","199,6999969482422","43,55931854248047","9,677472114562988","40,2599983215332","33,57375717163086","15,65999984741211","69,0","181,66392517089844","21,94159507751465"
"15,739999771118164","10,5","155,00999450683594","207,38999938964844","45,15542984008789","10,50382137298584","40,22999954223633","33,72760009765625","16,1299991607666","61,5","181,91177368164062","22,094362258911133"
"21,510000228881836","18,59000015258789","156,0","219,5500030517578","47,48672103881836","11,743346214294434","42,31999969482422","39,889556884765625","22,6200008392334","58,189998626708984","185,83291625976562","26,457855224609375"
"19,979999542236328","16,739999771118164","155,25999450683594","217,63999938964844","44,11069869995117","11,036358833312988","42,18000030517578","35,14811325073242","17,6299991607666","62,0","186,3689727783203","23,631610870361328"
"17,829999923706055","16,0","164,36000061035156","220,63999938964844","44,92141342163086","10,825180053710938","45,619998931884766","36,65501403808594","17,06999969482422","66,3499984741211","193,724853515625","22,600414276123047"
"15,779999732971191","12,380000114440918","170,8699951171875","215,7100067138672","42,529903411865234","10,641546249389648","49,029998779296875","33,94835662841797","14,6899995803833","61,279998779296875","194,896240234375","21,731534957885742"
"15,880000114440918","12,5","177,2100067138672","223,60000610351562","43,80862808227539","10,926177978515625","50,119998931884766","34,62022018432617","15,5","58,56999969482422","204,7537384033203","22,352163314819336"
"16,15999984741211","11,9399995803833","178,39999389648438","261,010009765625","44,07218551635742","10,981267929077148","51,33000183105469","34,744998931884766","15,760000228881836","62,61000061035156","212,109619140625","21,44508934020996"
"15,470000267028809","11,90999984741211","173,9199981689453","247,13999938964844","45,70231628417969","10,733363151550293","54,7400016784668","36,405460357666016","15,069999694824219","94,8499984741211","201,39840698242188","22,199392318725586"
"14,800000190734863","11,390000343322754","172,55999755859375","249,0","47,33245086669922","11,054720878601074","56,220001220703125","37,14451599121094","15,0600004196167","73,20999908447266","199,82997131347656","21,89385414123535"
